SKU,amz,ebay,web,oth,tot,category,resolved_parent_id,current_stock,in_stock_flag,cv_30,v7,v14,v30,v90,doc,status,risk,action
RIM-ELP-071-5PK,0,0,0,0,0,Cosmetics General,RIM-ELP-071-5PK,1522.0,1,5.477225575051661,0.0,0.0,0.0,0.0,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
RIM-EXAG-EYEL-001-2PK,0,0,0,0,0,Cosmetics General,RIM-EXAG-EYEL-001-2PK,875.0,1,5.477225575051659,0.0,0.0,0.03333333333333333,0.011111111111111112,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
RIM-EXAG-EYEL-001-3PK,0,0,0,0,0,Cosmetics General,RIM-EXAG-EYEL-001-3PK,571.0,1,2.4211709905575116,0.14285714285714285,0.07142857142857142,0.2,0.18888888888888888,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
RIM-EXAG-EYEL-001-5PK,0,0,0,0,0,Cosmetics General,RIM-EXAG-EYEL-001-5PK,217.0,1,5.477225575051662,0.0,0.0,0.0,0.03333333333333333,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
RIM-EXAG-EYEL-003-WP,0,0,0,0,0,Eyeliner,402758135397,1.0,1,5.477225575051765,0.0,0.0,0.0,0.0,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
RIM-EXGEL-230,0,0,0,0,0,Cosmetics General,B0F8W1BWH6,12.0,1,5.477225575051662,0.0,0.0,0.0,0.0,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
RIM-EXGEL-240,0,0,0,0,0,Cosmetics General,B01C2SKWKU,0.0,0,5.477225575051661,0.0,0.0,0.0,0.1,0.0,Stockout Inactive,STOCKOUT RISK,Urgent Restock Required
RIM-FDT-MATCH-101,0,0,0,0,0,"Complexion, Foundation, Makeup",B0GBY3RTBB,0.0,0,5.477225575051661,0.0,0.0,0.0,0.0,0.0,Stockout Inactive,STOCKOUT RISK,Urgent Restock Required
RIM-FDT-MATCH-103,0,0,0,0,0,"Complexion, Foundation, Makeup",403204793598,0.0,0,5.477225575051661,0.0,0.0,0.0,0.0,0.0,Stockout Inactive,STOCKOUT RISK,Urgent Restock Required
RIM-FDT-MATCH-200,0,0,0,0,0,"Complexion, Foundation, Makeup",B0GBY3RTBB,116.0,1,5.477225575051662,0.0,0.0,0.0,0.011111111111111112,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
RIM-FDT-MATCH-203,0,0,0,0,0,"Complexion, Foundation, Makeup",403204793598,48.0,1,3.8056219755369383,0.14285714285714285,0.07142857142857142,0.06666666666666667,0.044444444444444446,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
RIM-FDT-MATCH-300,0,0,0,0,0,"Complexion, Foundation, Makeup",403204793598,0.0,0,5.477225575051661,0.0,0.0,0.0,0.0,0.0,Stockout Inactive,STOCKOUT RISK,Urgent Restock Required
RIM-FDT-MATCH-400,0,0,0,0,0,"Complexion, Foundation, Makeup",403204793598,0.0,0,5.477225575051661,0.0,0.0,0.0,0.0,0.0,Stockout Inactive,STOCKOUT RISK,Urgent Restock Required
RIM-FDT-MATCH-501,0,0,0,0,0,"Complexion, Foundation, Makeup",403204793598,1.0,1,5.477225575051661,0.0,0.0,0.0,0.011111111111111112,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
RIM-FIX&PROT-PRIMER,0,0,0,0,0,Cosmetics General,B0H3KBBL9Z,0.0,0,5.477225575051691,0.0,0.0,0.0,0.18888888888888888,0.0,Stockout Inactive,STOCKOUT RISK,Urgent Restock Required
RIM-GENTLE-EYE-MAKEUP-RMVR-125ML,0,0,0,0,0,Cosmetics General,RIM-GENTLE-EYE-MAKEUP-RMVR-125ML,0.0,0,5.477225575051661,0.0,0.0,0.0,0.0,0.0,Stockout Inactive,STOCKOUT RISK,Urgent Restock Required
RIM-GLAMEYES-LL-001,0,0,0,0,0,Eyeliner,RIM-GLAMEYES-LL-001,3766.0,1,2.160029712830173,0.2857142857142857,0.2857142857142857,0.23333333333333334,0.3,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
RIM-GLAMEYES-LL-001-2PK,0,0,0,0,0,Eyeliner,RIM-GLAMEYES-LL-001-2PK,2064.0,1,5.477225575051661,0.14285714285714285,0.07142857142857142,0.03333333333333333,0.022222222222222223,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
RIM-GLAMEYES-LL-002,0,0,0,0,0,Eyeliner,B0GXFP4N17,0.0,0,5.477225575051699,0.0,0.0,0.0,0.0,0.0,Stockout Inactive,STOCKOUT RISK,Urgent Restock Required
RIM-HIGHLIGHT-001,0,0,0,0,0,"Complexion, Face Powder, Makeup",405495505414,123.0,1,5.477225575051662,0.0,0.0,0.0,0.0,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
RIM-HIGHLIGHT-002,0,0,0,0,0,"Complexion, Face Powder, Makeup",B09CH9DZL9,21.0,1,3.1840117830313943,0.14285714285714285,0.21428571428571427,0.16666666666666666,0.05555555555555555,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
RIM-HTB-001,0,0,0,0,0,Concealer,402418750983,0.0,0,5.477225575051612,0.0,0.0,0.0,0.0,0.0,Stockout Inactive,STOCKOUT RISK,Urgent Restock Required
RIM-HTB-001-2PK,0,0,0,0,0,Cosmetics General,RIM-HTB-001-2PK,4.0,1,5.477225575051648,0.0,0.0,0.0,0.0,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
RIM-HTB-001-3PK,0,0,0,0,0,Cosmetics General,RIM-HTB-001-3PK,906.0,1,5.477225575051658,0.0,0.0,0.0,0.0,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
RIM-HTB-001-5PK,0,0,0,0,0,Cosmetics General,RIM-HTB-001-5PK,537.0,1,5.477225575051666,0.0,0.0,0.0,0.0,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
RIM-HTB-002,0,0,0,0,0,Concealer,205588819397,0.0,0,5.477225575051785,0.0,0.0,0.0,0.7666666666666667,0.0,Stockout Inactive,STOCKOUT RISK,Urgent Restock Required
RIM-HTB-004-2PK,0,0,0,0,0,Cosmetics General,RIM-HTB-004-2PK,755.0,1,2.2742941307367106,0.0,0.0,0.16666666666666666,0.05555555555555555,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
RIM-HTB-004-3PK,0,0,0,0,0,Cosmetics General,RIM-HTB-004-3PK,448.0,1,5.477225575051666,0.0,0.0,0.03333333333333333,0.07777777777777778,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
RIM-HTB-004-5PK,0,0,0,0,0,Cosmetics General,RIM-HTB-004-5PK,306.0,1,3.8056219755369365,0.0,0.0,0.06666666666666667,0.03333333333333333,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
RIM-HTB-103,0,0,0,0,0,Concealer,402418750983,0.0,0,5.4772255750547325,0.0,0.0,0.0,0.08888888888888889,0.0,Stockout Inactive,STOCKOUT RISK,Urgent Restock Required
RIM-HTB-103-2PK,0,0,0,0,0,Cosmetics General,RIM-HTB-103-2PK,0.0,0,5.4772255750516745,0.0,0.0,0.0,0.011111111111111112,0.0,Stockout Inactive,STOCKOUT RISK,Urgent Restock Required
RIM-HTB-103-3PK,0,0,0,0,0,Cosmetics General,RIM-HTB-103-3PK,28.0,1,5.4772255750516585,0.0,0.0,0.0,0.0,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
RIM-HTB-103-5PK,0,0,0,0,0,Cosmetics General,RIM-HTB-103-5PK,2.0,1,5.477225575051681,0.0,0.0,0.0,0.0,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
RIM-INSTACC-GREEN,0,0,0,0,0,"Colour Corrector, Complexion, Makeup",B0F8P37FR4,0.0,0,5.47722557505166,0.0,0.0,0.0,0.0,0.0,Stockout Inactive,STOCKOUT RISK,Urgent Restock Required
RIM-INSTACC-LAVENDER,0,0,0,0,0,"Colour Corrector, Complexion, Makeup",B0F8P37FR4,0.0,0,5.477225575051659,0.0,0.0,0.0,0.0,0.0,Stockout Inactive,STOCKOUT RISK,Urgent Restock Required
RIM-INSTAFIX-SPRAY,0,0,0,0,0,"Complexion, Makeup, Setting Spray",RIM-INSTAFIX-SPRAY,0.0,0,5.477225575051656,0.0,0.0,0.0,0.0,0.0,Stockout Inactive,STOCKOUT RISK,Urgent Restock Required
RIM-JELLY-010,0,0,0,0,0,"Complexion, Highlighter, Makeup",B07QRM9RX9,111.0,1,5.477225575051661,0.0,0.0,0.0,0.0,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
RIM-JELLY-020,0,0,0,0,0,"Complexion, Highlighter, Makeup",RIM-JELLY,44.0,1,5.477225575051661,0.0,0.0,0.0,0.011111111111111112,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
RIM-JELLY-040,0,0,0,0,0,"Complexion, Highlighter, Makeup",402824217657,39.0,1,5.477225575051661,0.0,0.0,0.0,0.0,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
RIM-KATE-NUDE-LS-040,0,0,0,0,0,Lipstick,B01GH03YT0,0.0,0,5.477225575051625,0.0,0.0,0.0,0.0,0.0,Stockout Inactive,STOCKOUT RISK,Urgent Restock Required
RIM-KATE-NUDE-LS-042,0,0,0,0,0,Lipstick,402758170130,0.0,0,5.477225575052002,0.0,0.0,0.0,0.0,0.0,Stockout Inactive,STOCKOUT RISK,Urgent Restock Required
RIM-KATE-NUDE-LS-045,0,0,0,0,0,Lipstick,B01GH0421Y,0.0,0,5.477225575051645,0.0,0.0,0.0,0.0,0.0,Stockout Inactive,STOCKOUT RISK,Urgent Restock Required
RIM-KATE-NUDE-LS-045-5PK,0,0,0,0,0,Cosmetics General,RIM-KATE-NUDE-LS-045-5PK,0.0,0,5.4772255750516825,0.0,0.0,0.0,0.0,0.0,Stockout Inactive,STOCKOUT RISK,Urgent Restock Required
RIM-KATE-NUDE-LS-048,0,0,0,0,0,Lipstick,B01GH03YRM,0.0,0,5.477225575051645,0.0,0.0,0.0,0.0,0.0,Stockout Inactive,STOCKOUT RISK,Urgent Restock Required
RIM-KATE-SCULPTPAL-002,0,0,0,0,0,"Complexion Palettes, Makeup, Palettes",402888786877,0.0,0,5.477225575051659,0.0,0.0,0.0,0.0,0.0,Stockout Inactive,STOCKOUT RISK,Urgent Restock Required
RIM-KATE-SCULPTPAL-002-2PK,0,0,0,0,0,Cosmetics General,RIM-KATE-SCULPTPAL-002-2PK,1.0,1,5.477225575051662,0.0,0.0,0.0,0.0,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
RIM-KATE-SCULPTPAL-002-3PK,0,0,0,0,0,Cosmetics General,RIM-KATE-SCULPTPAL-002-3PK,3.0,1,5.477225575051661,0.0,0.0,0.0,0.0,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
RIM-KATE-SCULPTPAL-002-5PK,0,0,0,0,0,Cosmetics General,RIM-KATE-SCULPTPAL-002-5PK,15.0,1,5.477225575051661,0.0,0.0,0.0,0.0,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
RIM-KF-BROW-DEFINER-001,0,0,0,0,0,Eyeliner,406668684099,42.0,1,5.477225575051661,0.0,0.0,0.0,0.0,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
RIM-KF-BROW-DEFINER-002,0,0,0,0,0,Eyeliner,406668684099,43.0,1,5.477225575051661,0.0,0.0,0.0,0.011111111111111112,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
RIM-KF-BROW-DEFINER-004,0,0,0,0,0,Eyeliner,406668684099,44.0,1,5.477225575051661,0.0,0.0,0.0,0.011111111111111112,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
