(Parent) ASIN,Title,Sessions – Mobile app,Sessions – Mobile APP – B2B,Sessions – Browser,Sessions – Browser – B2B,Sessions – Total,Sessions – Total – B2B,Session percentage – Mobile APP – B2B,Session percentage – Mobile App,Session percentage – Browser,Session percentage – Browser – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Mobile app,Page views – Mobile APP – B2B,Page views – Browser,Page views – Browser – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Mobile App,Page views percentage – Mobile app – B2B,Page views percentage – Browser,Page views percentage – Browser – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B,Units refunded,Units refunded – B2B,Refund Rate,Refund rate – B2B,Shipped product sales,Shipped Product Sales – B2B,Units shipped,Units Shipped – B2B,Orders shipped,Orders Shipped – B2B
B08R4W2L8T,Rimmel London Professional,817,7,398,5,"1,215",12,0.08%,0.05%,0.05%,0.07%,0.05%,0.08%,"1,075",9,509,9,"1,584",18,0.05%,0.08%,0.05%,0.09%,0.05%,0.08%,47.21%,87.50%,211,1,17.37%,8.33%,£917.70,£4.26,183,1,6,0,2.84%,0.00%,£789.99,£3.55,218,1,204,1
B0CLGWXNPJ,"Rimmel London Scandaleyes Exaggerate Eye Definer, 004 Cobalt Blue, 0.35g (Pack of 1)","19,928",148,"7,837",74,"27,765",222,1.73%,1.28%,1.08%,1.01%,1.22%,1.40%,"25,328",178,"10,479",112,"35,807",290,1.25%,1.59%,1.10%,1.11%,1.20%,1.36%,1.38%,2.44%,181,0,0.65%,0.00%,£839.14,£0.00,174,0,1,0,0.55%,0.00%,£641.75,£0.00,165,0,159,0
B0GW84YM4L,Max Factor Lasting Performance Liquid Foundation,"6,882",33,"4,374",38,"11,256",71,0.39%,0.44%,0.60%,0.52%,0.49%,0.45%,"9,940",43,"6,471",53,"16,411",96,0.49%,0.38%,0.68%,0.52%,0.55%,0.45%,5.59%,6.25%,187,0,1.66%,0.00%,"£1,609.95",£0.00,159,0,13,0,6.95%,0.00%,"£1,664.47",£0.00,230,0,196,0
B0C945X5PR,"Armaf Perfume Club De Nuit Hair Mist For Women, 55 ml - fragrance, all hair type, alcohol free, hair spray perfums for women","4,046",39,"1,615",29,"5,661",68,0.46%,0.26%,0.22%,0.40%,0.25%,0.43%,"6,232",84,"2,420",44,"8,652",128,0.31%,0.75%,0.25%,0.43%,0.29%,0.60%,26.03%,28.57%,156,2,2.76%,2.94%,"£6,869.71",£87.36,150,1,4,0,2.56%,0.00%,"£5,731.67",£72.80,156,2,150,1
B097QPWLHM,"Rimmel Scandaleyes WOW Wings Volumising Mascara, Black, 12 ml",501,1,266,2,767,3,0.01%,0.03%,0.04%,0.03%,0.03%,0.02%,656,2,338,5,994,7,0.03%,0.02%,0.04%,0.05%,0.03%,0.03%,30.57%,80.00%,172,0,22.43%,0.00%,"£1,031.32",£0.00,149,0,2,0,1.16%,0.00%,£822.32,£0.00,164,0,150,0
B0GRBHC1KX,"Rimmel London Magnif'eyes 12 Pan Eyeshadow Palette, Highly Pigmented Colours and Long-lasting Formula","7,358",31,"2,552",26,"9,910",57,0.36%,0.47%,0.35%,0.35%,0.43%,0.36%,"9,463",52,"3,410",37,"12,873",89,0.47%,0.46%,0.36%,0.37%,0.43%,0.42%,4.96%,5.56%,132,0,1.33%,0.00%,£957.31,£0.00,127,0,3,0,2.27%,0.00%,£791.19,£0.00,131,0,128,0
B0FYHMFVRG,Max Factor Max Factor Lip Finity,"19,457",115,"8,567",99,"28,024",214,1.34%,1.25%,1.18%,1.35%,1.23%,1.35%,"24,001",156,"11,162",133,"35,163",289,1.18%,1.39%,1.17%,1.31%,1.18%,1.36%,3.20%,2.21%,122,1,0.44%,0.47%,"£1,038.85",£8.62,106,1,0,0,0.00%,0.00%,£887.55,£7.18,125,1,108,1
B00ARNR3CS,Max Factor Kohl Pencil,"2,576",12,"1,229",12,"3,805",24,0.14%,0.17%,0.17%,0.16%,0.17%,0.15%,"3,402",18,"1,637",13,"5,039",31,0.17%,0.16%,0.17%,0.13%,0.17%,0.15%,6.80%,0.00%,109,0,2.86%,0.00%,£407.92,£0.00,99,0,1,0,0.92%,0.00%,£349.49,£0.00,112,0,107,0
B0H6R42TK5,"Rimmel London Super Gel Nail Polish, Long-Lasting Gel-Like Manicure, Chip Resistant, Easy Application, 12ml","15,591",93,"5,308",69,"20,899",162,1.09%,1.00%,0.73%,0.94%,0.92%,1.02%,"19,284",113,"6,811",102,"26,095",215,0.95%,1.01%,0.72%,1.01%,0.88%,1.01%,3.79%,2.86%,99,0,0.47%,0.00%,£558.63,£0.00,98,0,1,0,1.01%,0.00%,£508.40,£0.00,108,0,106,0
B0C7L7HSQ7,Technic 12 g Get Gorgeous Bronzing Highlighting Powder,459,4,134,3,593,7,0.05%,0.03%,0.02%,0.04%,0.03%,0.04%,600,5,181,4,781,9,0.03%,0.04%,0.02%,0.04%,0.03%,0.04%,63.08%,100.00%,99,1,16.69%,14.29%,£390.53,£3.84,96,1,1,0,1.01%,0.00%,£321.94,£3.20,98,1,95,1
B0C27F5YNK,Bourjois Little Round Pot Blusher,"2,413",14,"1,091",9,"3,504",23,0.16%,0.16%,0.15%,0.12%,0.15%,0.14%,"3,261",23,"1,598",14,"4,859",37,0.16%,0.21%,0.17%,0.14%,0.16%,0.17%,21.35%,66.67%,94,0,2.68%,0.00%,£699.77,£0.00,92,0,1,0,1.06%,0.00%,£546.26,£0.00,88,0,86,0
B09DTRB76M,Rimmel London Wonder’Full Brow 24HR Waterproof Brow Gel,"6,805",31,"2,355",19,"9,160",50,0.36%,0.44%,0.32%,0.26%,0.40%,0.31%,"8,605",42,"3,094",31,"11,699",73,0.42%,0.38%,0.32%,0.31%,0.39%,0.34%,2.66%,10.53%,97,0,1.06%,0.00%,£511.98,£0.00,91,0,0,0,0.00%,0.00%,£435.04,£0.00,98,0,92,0
B017NILC9E,Technic Pink Back Combing Brush,274,2,138,1,412,3,0.02%,0.02%,0.02%,0.01%,0.02%,0.02%,335,3,165,1,500,4,0.02%,0.03%,0.02%,0.01%,0.02%,0.02%,65.78%,100.00%,89,0,21.60%,0.00%,£256.49,£0.00,83,0,0,0,0.00%,0.00%,£231.36,£0.00,96,0,90,0
B0C5CNDJZS,Rimmel London Lasting Finish Exaggerate Lip Liners 4g,"1,439",8,796,14,"2,235",22,0.09%,0.09%,0.11%,0.19%,0.10%,0.14%,"1,832",10,"1,047",18,"2,879",28,0.09%,0.09%,0.11%,0.18%,0.10%,0.13%,22.16%,62.50%,107,4,4.79%,18.18%,£533.74,£19.38,81,4,2,0,1.87%,0.00%,£447.52,£16.16,108,4,91,4
B0H3K42JGB,"MAX FACTOR - Brow Shaper - Double Tipped Mechanical Pencil With Spoolie Brush - Utltra Fine Tip For Precise Application, Softening Effect, Matte Finish - 10 Blonde - 1g","1,363",11,573,3,"1,936",14,0.13%,0.09%,0.08%,0.04%,0.08%,0.09%,"1,689",13,758,4,"2,447",17,0.08%,0.12%,0.08%,0.04%,0.08%,0.08%,5.45%,0.00%,89,0,4.60%,0.00%,£520.48,£0.00,81,0,0,0,0.00%,0.00%,£436.10,£0.00,89,0,81,0
B0H4SV53T5,Rimmel 60 Seconds Super Shine Nail Polish,"155,784",731,"61,090",519,"216,874","1,250",8.53%,10.01%,8.41%,7.08%,9.50%,7.86%,"196,212",901,"82,087",755,"278,299","1,656",9.68%,8.05%,8.62%,7.45%,9.34%,7.77%,0.06%,10.70%,84,13,0.04%,1.04%,£412.99,£54.65,81,13,0,0,0.00%,0.00%,£361.10,£45.55,87,13,84,13
B09F3YBTP7,Rimmel Exaggerate Liquid Eyeliner,"2,439",18,984,15,"3,423",33,0.21%,0.16%,0.14%,0.20%,0.15%,0.21%,"3,240",21,"1,330",20,"4,570",41,0.16%,0.19%,0.14%,0.20%,0.15%,0.19%,4.27%,0.00%,83,0,2.42%,0.00%,£383.26,£0.00,79,0,2,0,2.41%,0.00%,£340.72,£0.00,89,0,81,0
B0BMY12GHZ,evlon Super Lustrous Lipstick #730 Revlon Red 4.2g,"1,999",4,"1,250",6,"3,249",10,0.05%,0.13%,0.17%,0.08%,0.14%,0.06%,"2,622",4,"1,731",9,"4,353",13,0.13%,0.04%,0.18%,0.09%,0.15%,0.06%,14.83%,57.14%,83,1,2.55%,10.00%,£478.95,£5.45,72,1,0,0,0.00%,0.00%,£377.31,£0.00,78,0,67,0
B08R4Y54Z5,Rimmel London Brow,"3,681",29,"1,514",20,"5,195",49,0.34%,0.24%,0.21%,0.27%,0.23%,0.31%,"4,789",39,"1,934",24,"6,723",63,0.24%,0.35%,0.20%,0.24%,0.23%,0.30%,2.51%,11.76%,81,3,1.56%,6.12%,£404.77,£15.31,68,2,1,0,1.23%,0.00%,£243.61,£12.76,59,3,51,2
B0GGB6BYK1,"Rimmel Lasting Finish Lipstick 170 Alarm, Creamy Satin Finish, Long Lasting 8 HR Wear","15,469",60,"8,129",49,"23,598",109,0.70%,0.99%,1.12%,0.67%,1.03%,0.69%,"19,061",79,"10,655",61,"29,716",140,0.94%,0.71%,1.12%,0.60%,1.00%,0.66%,1.76%,0.00%,78,0,0.33%,0.00%,£404.09,£0.00,63,0,1,0,1.28%,0.00%,£293.24,£0.00,68,0,54,0
B08RFX7ZJC,Bourjois Paris Little Round Pot Eyeshadow - 1.7g |2-Iridesc'Sand,"2,987",5,"1,652",25,"4,639",30,0.06%,0.19%,0.23%,0.34%,0.20%,0.19%,"3,903",5,"2,233",36,"6,136",41,0.19%,0.04%,0.23%,0.36%,0.21%,0.19%,18.34%,25.00%,63,0,1.36%,0.00%,£466.87,£0.00,59,0,0,0,0.00%,0.00%,£382.87,£0.00,62,0,58,0
B0C1P8JC3X,Max Factor Facefinity Blush,"7,585",24,"3,420",17,"11,005",41,0.28%,0.49%,0.47%,0.23%,0.48%,0.26%,"10,242",32,"4,671",21,"14,913",53,0.51%,0.29%,0.49%,0.21%,0.50%,0.25%,2.38%,0.00%,56,0,0.51%,0.00%,£430.16,£0.00,52,0,2,0,3.57%,0.00%,£358.38,£0.00,56,0,54,0
B01M065MO6,Bourjois Volume Glamour Push Up Mascara,257,3,124,2,381,5,0.04%,0.02%,0.02%,0.03%,0.02%,0.03%,320,4,169,2,489,6,0.02%,0.04%,0.02%,0.02%,0.02%,0.03%,25.59%,0.00%,52,0,13.65%,0.00%,£399.25,£0.00,47,0,0,0,0.00%,0.00%,£327.43,£0.00,52,0,48,0
B0HG289WZF,"Sally Hansen Advanced Hard as Nails Strengthener, 13.3ml (Pack of 1)","3,543",19,"1,613",21,"5,156",40,0.22%,0.23%,0.22%,0.29%,0.23%,0.25%,"4,842",27,"2,246",26,"7,088",53,0.24%,0.24%,0.24%,0.26%,0.24%,0.25%,3.43%,14.71%,50,0,0.97%,0.00%,£222.34,£0.00,45,0,0,0,0.00%,0.00%,£159.83,£0.00,43,0,38,0
B0C78LF8NV,ARMAF Club De Nuit Urban Man ELIXIR Eau De Parfum 105ml,"1,139",15,420,7,"1,559",22,0.18%,0.07%,0.06%,0.10%,0.07%,0.14%,"1,557",16,608,10,"2,165",26,0.08%,0.14%,0.06%,0.10%,0.07%,0.12%,21.50%,0.00%,43,0,2.76%,0.00%,"£1,418.57",£0.00,42,0,3,0,6.98%,0.00%,"£1,220.56",£0.00,44,0,43,0
B0CLGFGP6D,Sally Hansen (1 x 13 ml),280,0,181,2,461,2,0.00%,0.02%,0.02%,0.03%,0.02%,0.01%,377,0,248,2,625,2,0.02%,0.00%,0.03%,0.02%,0.02%,0.01%,73.68%,0.00%,42,0,9.11%,0.00%,£239.53,£0.00,41,0,1,0,2.38%,0.00%,£195.09,£0.00,41,0,40,0
B00H56KCUU,"Maybelline Baby Skin Primer, Instant Pore Eraser Lightweight Blurring","3,369",16,"1,444",18,"4,813",34,0.19%,0.22%,0.20%,0.25%,0.21%,0.21%,"4,588",20,"1,844",23,"6,432",43,0.23%,0.18%,0.19%,0.23%,0.22%,0.20%,1.35%,0.00%,36,0,0.75%,0.00%,£256.23,£0.00,35,0,0,0,0.00%,0.00%,£206.77,£0.00,35,0,34,0
B0049AULWO,Technic Clear Lip Gloss,112,2,62,1,174,3,0.02%,0.01%,0.01%,0.01%,0.01%,0.02%,151,2,77,1,228,3,0.01%,0.02%,0.01%,0.01%,0.01%,0.01%,62.25%,0.00%,39,0,22.41%,0.00%,£117.21,£0.00,34,0,0,0,0.00%,0.00%,£97.68,£0.00,39,0,35,0
B00FX0J0KS,RefectoCil Oxidant 3% Cream 100ml,74,0,26,0,100,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,99,0,38,0,137,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,42.98%,0.00%,34,0,34.00%,0.00%,£268.46,£0.00,34,0,2,0,5.88%,0.00%,£243.35,£0.00,37,0,37,0
B0CLLXYFVX,L.A. Girl Pro.Conceal HD.high-definition Concealer Corrector and Highlighter,"1,161",9,425,6,"1,586",15,0.11%,0.07%,0.06%,0.08%,0.07%,0.09%,"1,476",11,538,8,"2,014",19,0.07%,0.10%,0.06%,0.08%,0.07%,0.09%,16.23%,40.00%,37,0,2.33%,0.00%,£221.63,£0.00,34,0,2,0,5.41%,0.00%,£189.62,£0.00,38,0,35,0
B077ZH369G,Sally Hansen Instant Cuticle Remover 1 Ounce (29.5ml),454,5,255,1,709,6,0.06%,0.03%,0.04%,0.01%,0.03%,0.04%,588,5,353,1,941,6,0.03%,0.04%,0.04%,0.01%,0.03%,0.03%,18.00%,100.00%,33,0,4.65%,0.00%,£178.96,£0.00,33,0,0,0,0.00%,0.00%,£149.09,£0.00,33,0,33,0
B0H3P69D99,Rimmel London Oh My Gloss Lipgloss - Captivate Me,"2,709",12,"1,290",6,"3,999",18,0.14%,0.17%,0.18%,0.08%,0.18%,0.11%,"3,526",13,"1,683",8,"5,209",21,0.17%,0.12%,0.18%,0.08%,0.17%,0.10%,2.78%,0.00%,36,0,0.90%,0.00%,£201.95,£0.00,33,0,0,0,0.00%,0.00%,£168.33,£0.00,36,0,35,0
B094MYZTFM,"Rimmel London Scandaleyes Volume On Demand Buildable Mascara, Black Brown, 12 ml",454,1,308,3,762,4,0.01%,0.03%,0.04%,0.04%,0.03%,0.03%,552,1,434,4,986,5,0.03%,0.01%,0.05%,0.04%,0.03%,0.02%,8.83%,0.00%,31,0,4.07%,0.00%,£151.30,£0.00,28,0,1,0,3.23%,0.00%,£143.76,£0.00,35,0,31,0
B07H8T68MM,Bourjois Khol & Contour,291,1,232,5,523,6,0.01%,0.02%,0.03%,0.07%,0.02%,0.04%,368,1,305,7,673,8,0.02%,0.01%,0.03%,0.07%,0.02%,0.04%,9.27%,0.00%,39,0,7.46%,0.00%,£165.49,£0.00,27,0,0,0,0.00%,0.00%,£132.10,£0.00,37,0,27,0
B0G3PQLBZ3,"Rimmel Kind + Free Natural Finish Pressed Powder, Translucent 001",490,2,273,5,763,7,0.02%,0.03%,0.04%,0.07%,0.03%,0.04%,603,3,362,6,965,9,0.03%,0.03%,0.04%,0.06%,0.03%,0.04%,9.76%,20.00%,28,0,3.67%,0.00%,£134.07,£0.00,27,0,0,0,0.00%,0.00%,£139.47,£0.00,35,0,34,0
